rank,title,developer,source,rank_source,app_id,store_url,logo_file
"73","Mr D Food & Grocery Delivery","Mr Delivery (Pty) Ltd Play Store","google_play","TOP_FREE","com.mrd.food","https://play.google.com/store/apps/details?id=com.mrd.food","073_Mr_D_Food_&_Grocery_Delivery.png"
"74","Absa Banking App","Absa Group Limited.","google_play","TOP_FREE","com.barclays.absa.banking","https://play.google.com/store/apps/details?id=com.barclays.absa.banking","074_Absa_Banking_App.png"
"75","WellLog: Health Log - HR & BP","You Only Live Once Studio","google_play","TOP_FREE","com.blood.pressure.sugar.well.log","https://play.google.com/store/apps/details?id=com.blood.pressure.sugar.well.log","075_WellLog_Health_Log_-_HR_&_BP.png"
"76","App Lock - Applock Fingerprint","Trusted Tools","google_play","TOP_FREE","applock.lockapps.fingerprint.password.lockit","https://play.google.com/store/apps/details?id=applock.lockapps.fingerprint.password.lockit","076_App_Lock_-_Applock_Fingerprint.png"
"77","PayPal - Pay, Send, Save","PayPal Mobile","google_play","TOP_FREE","com.paypal.android.p2pmobile","https://play.google.com/store/apps/details?id=com.paypal.android.p2pmobile","077_PayPal_-_Pay,_Send,_Save.png"
"78","Phoenix - Fast & Safe","Colorful Point","google_play","TOP_FREE","com.transsion.phoenix","https://play.google.com/store/apps/details?id=com.transsion.phoenix","078_Phoenix_-_Fast_&_Safe.png"
"79","videous lite","devsss 2222","google_play","TOP_FREE","com.videoflow.filevideo.player","https://play.google.com/store/apps/details?id=com.videoflow.filevideo.player","079_videous_lite.png"
"80","Moviebox: PlayShort Drama","BrightLens Apps","google_play","TOP_FREE","com.moviebox2.dramabox.hr","https://play.google.com/store/apps/details?id=com.moviebox2.dramabox.hr","080_Moviebox_PlayShort_Drama.png"
"81","Video Editor & Maker - InShot","InShot Video Editor","google_play","TOP_FREE","com.camerasideas.instashot","https://play.google.com/store/apps/details?id=com.camerasideas.instashot","081_Video_Editor_&_Maker_-_InShot.png"
"82","Viu - Mzansi's Favourite Shows","Vuclip Mobile Video","google_play","TOP_FREE","com.vuclip.viu","https://play.google.com/store/apps/details?id=com.vuclip.viu","082_Viu_-_Mzansi's_Favourite_Shows.png"
"83","Tubidy Mp3 Music Downloader","Friends Apps Forever","google_play","TOP_FREE","com.tubidy.com.mp3musicdownload.app.cc","https://play.google.com/store/apps/details?id=com.tubidy.com.mp3musicdownload.app.cc","083_Tubidy_Mp3_Music_Downloader.png"
"84","Pinterest","Pinterest","google_play","TOP_FREE","com.pinterest","https://play.google.com/store/apps/details?id=com.pinterest","084_Pinterest.png"
"85","AliExpress - Shopping App","Alibaba Mobile","google_play","TOP_FREE","com.alibaba.aliexpresshd","https://play.google.com/store/apps/details?id=com.alibaba.aliexpresshd","085_AliExpress_-_Shopping_App.png"
